电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['利刃出鞘 Knives Out'],['8.2'],['莱恩·约翰逊'],"['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农', '唐·约翰逊', '托妮·科莱特', '勒凯斯·斯坦菲尔德', '克里斯托弗·普卢默', '凯瑟琳·兰福德', '杰登·马泰尔', '瑞琪·琳德赫姆', '艾迪·帕特森', '弗兰克·奥兹', 'K·卡兰', '诺阿·西甘', 'M·埃梅特·沃尔什', '玛琳娜·福特', '劳尔·卡斯提洛', '雪莉·罗德里格斯', '约瑟夫·高登-莱维特', '加布里埃尔·洛莱斯']",[],"['剧情', '喜剧', '悬疑', '犯罪']",['130'],[' 英语 / 西班牙语'],['500756'],[' 美国']
['我不是药神'],['9.0'],['文牧野'],"['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']","['07', '06']","['剧情', '喜剧']",['117'],[' 汉语普通话 / 英语 / 上海话 / 印地语'],['1491220'],[' 中国大陆']
['哪吒之魔童降世'],['8.5'],['饺子'],"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']",[],"['剧情', '喜剧', '动画', '奇幻']",['110'],[' 汉语普通话'],['1423315'],[' 中国大陆']
['少年的你'],['8.3'],['曾国祥'],"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越', '黄觉', '张艺凡', '张耀', '张歆怡', '赵润南', '郜玄铭', '谢欣桐', '刘然', '何廖侣匀', '胖虎', '罗俊林']",[],"['剧情', '爱情', '犯罪']",['135'],[' 汉语普通话'],['1052636'],[' 中国大陆']
['春潮'],['7.2'],['杨荔钠'],"['郝蕾', '金燕玲', '曲隽希', '李文波', '黄尚禾']",[],"['剧情', '家庭']",['124'],[' 汉语普通话'],['20932'],[' 中国大陆']
['流浪地球'],['7.9'],['郭帆'],"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']",[],"['科幻', '冒险', '灾难']",['125'],[' 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语'],['1529619'],[' 中国大陆']
['绿皮书 Green Book'],['8.9'],['彼得·法雷里'],"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·库瑞', '托尼亚·马尔多纳多']","['09', '11']","['剧情', '喜剧', '传记']",['130'],[' 英语 / 意大利语 / 俄语 / 德语'],['1067982'],[' 美国']
['误杀'],['7.7'],['柯汶利'],"['肖央', '谭卓', '陈冲', '姜皓文', '秦沛', '边天扬', '许文姗', '张熙然', '施名帅', '黄健玮']",[],"['剧情', '悬疑', '犯罪']",['112'],[' 汉语普通话'],['536419'],[' 中国大陆']
['我和我的祖国'],['7.8'],"['陈凯歌', '张一白', '管虎', '薛晓路', '徐峥', '宁浩', '文牧野']","['黄渤', '张译', '韩昊霖', '杜江', '葛优', '刘昊然', '宋佳', '王千源', '任素汐', '吴京', '朱一龙', '王东', '陈飞宇', '佟丽娅', '欧豪', '张嘉译', '惠英红', '龚蓓苾', '田壮壮', '韩东君', '辛柏青', '周冬雨', '任达华', '江珊', '王砚辉', '耿乐', '姜武', '梁静', '佟大为', '魏晨', '胡军', '王天辰', '彭昱畅', '罗海琼', '郭丞', '周依然', '樊雨洁', '刘涛', '马伊琍', '张建亚', '徐峥', '王洛勇', '高亚麟', '王道铁', '程禹森', '马书良', '景海鹏', '陈冬', '雷佳音', '张子枫', '陶虹', '郭京飞', '袁文康', '贾晨飞', '邵汶', '张芝华', '段博文', '郎平']",[],['剧情'],['155'],[' 汉语普通话'],['734439'],[' 中国大陆']
['头号玩家 Ready Player One'],['8.7'],['史蒂文·斯皮尔伯格'],"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']","['03', '03', '03']","['动作', '科幻', '冒险']",['140'],[' 英语 / 日语 / 汉语普通话'],['1009339'],[' 美国']
['西虹市首富'],['6.6'],"['闫非', '彭大魔']","['沈腾', '宋芸桦', '张一鸣', '张晨光', '常远', '魏翔', '赵自强', '九孔', '李立群', '王成思', '徐冬冬', '艾伦', '杨皓宇', '黄才伦', '王力宏', '包贝尔', '郎咸平', '张绍刚', '杨文哲', '陶亮', '王赞', '黄杨', '刘鉴', '杨沅翰', '林炳宝', '骆佳', '陈昊明', '臧一人']",['07'],['喜剧'],['118'],[' 汉语普通话'],['783192'],[' 中国大陆']
['寄生虫 기생충'],['8.7'],['奉俊昊'],"['宋康昊', '李善均', '赵汝贞', '崔宇植', '朴素丹', '李静恩', '张慧珍', '郑知晓', '朴明勋', '朴叙俊', '朴根祿', '郑贤俊', '朴孝新', '安德烈亚斯·弗龙克']",[],"['剧情', '喜剧']",['132'],[' 韩语 / 英语'],['966100'],[' 韩国']
['复仇者联盟4：终局之战 Avengers: Endgame'],['8.5'],"['安东尼·罗素', '乔·罗素']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊', '杰瑞米·雷纳', '保罗·路德', '凯伦·吉兰', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·王', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '乔什·布洛林', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']",[],"['动作', '科幻', '奇幻', '冒险']",['181'],[' 英语 / 日语 / 科萨语'],['841006'],[' 美国']
['唐人街探案2'],['6.7'],['陈思诚'],"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚']",['02'],"['喜剧', '动作', '悬疑']",['121'],[' 汉语普通话'],['696084'],[' 中国大陆']
['红海行动'],['8.3'],['林超贤'],"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",['02'],"['动作', '战争']",['138'],[' 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语'],['811188'],[' 中国大陆 / 中国香港']
['何以为家 كفرناحوم'],['9.1'],['娜丁·拉巴基'],"['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']","['05', '09']",['剧情'],['126'],[' 阿拉伯语 / 阿姆哈拉语'],['652069'],[' 黎巴嫩 / 法国 / 美国']
['小丑 Joker'],['8.7'],['托德·菲利普斯'],"['华金·菲尼克斯', '罗伯特·德尼罗', '马克·马龙', '莎姬·贝兹', '谢伊·惠格姆', '弗兰西丝·康罗伊', '布莱恩·考伦', '布莱恩·泰里·亨利', '布莱特·卡伦', '道格拉斯·霍奇斯', '格伦·弗莱施勒', '比尔·坎普', '乔什·帕斯', '但丁·佩雷拉-奥尔森', '玛丽·凯特·马拉特', '迈克尔·本茨', '莎珑·华盛顿', '桑德拉·詹姆斯', '托尼·赫德', '曼德拉·贝拉米', '乔·奥克曼', '卡尔·伦德施泰特', '米克·奥罗克', '大卫·吉布森', '伊万·罗萨多', '安妮·比萨比亚', '布莱斯·科里根', '乔恩·道格拉斯·雷尼', '艾恩斯利·丹恩', '杰森·约翰·奇卡莱塞']",[],"['剧情', '惊悚', '犯罪']",['122'],[' 英语'],['701598'],[' 美国 / 加拿大']
['调音师 Andhadhun'],['8.3'],['斯里兰姆·拉格万'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['10'],"['喜剧', '悬疑', '惊悚', '犯罪']",['139'],[' 印地语 / 英语'],['666997'],[' 印度']
['天气之子 天気の子'],['7.1'],['新海诚'],"['醍醐虎汰朗', '森七菜', '小栗旬', '本田翼', '倍赏千惠子', '吉柳咲良', '平泉成', '梶裕贵', '木村良平', '柴田秀胜', '野泽雅子', '花泽香菜', '佐仓绫音']",[],"['爱情', '动画', '奇幻']",['111'],[' 日语'],['178180'],[' 日本']
['飞驰人生'],['6.9'],['韩寒'],"['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉', '田雨', '魏翔', '赵文瑄', '腾格尔', '易小星', '李庆誉', '高华阳', '刘帅良', '李玲玉', '何穗', '潘晓婷', '田原', '李春嫒', '冯绍峰']",[],['喜剧'],['98'],[' 汉语普通话 / 英语'],['735085'],[' 中国大陆']
['超人总动员2 Incredibles 2'],['7.9'],['布拉德·伯德'],"['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯', '约翰·拉岑贝格', '金伯利·阿代尔·克拉克', '托亚·特纳']","['06', '06']","['喜剧', '动作', '动画', '冒险']",['118'],[' 英语'],['210611'],[' 美国']
['速度与激情：特别行动 Fast &amp; Furious Presents: Hobbs &amp; Shaw'],['6.3'],['大卫·雷奇'],"['道恩·强森', '杰森·斯坦森', '伊德里斯·艾尔巴', '凡妮莎·柯比', '艾莎·冈萨雷斯', '海伦·米伦', '瑞恩·雷诺兹', '凯文·哈特', '埃迪·马森', '罗曼·雷恩斯', '斯蒂芬妮·沃格特', '维克托里娅·菲斯', '康兰·卡萨尔', '海伦娜·福尔摩斯', '伯纳多·桑托斯', '露丝·霍洛克斯', '大卫·穆梅尼', '马诺伊·阿南德', '阿玛尔·阿达蒂亚', '朱利安·费罗', '丹尼尔·厄根', '拉普洛斯·卡伦福佐斯', '阿克塞尔·努', '史蒂夫·莱温顿', '安东尼奥·曼奇诺', '斯特拉·斯托克尔', '克利夫·柯蒂斯']",[],"['动作', '犯罪']",['137'],[' 英语 / 萨摩亚语 / 俄语'],['202686'],[' 美国']
['密室逃生 Escape Room'],['7.2'],['亚当·罗比特尔'],"['泰勒·拉塞尔', '洛根·米勒', '黛博拉·安沃尔', '泰勒·莱伯恩', '杰·埃利斯', '尼克·多达尼', '杰西卡·萨顿', '约里克·范·韦杰宁根', '杰米-李·蒙尼', '亚当·罗比特尔', '韦尔·廷德尔', '肯尼思·霍', '科尼利厄斯·吉尼', '保罗·汉普赛尔', '佩泰·塞彭克', '丹·格伦伯格', '吉诺·李']",[],"['悬疑', '惊悚']",['99'],[' 英语'],['187068'],[' 美国 / 南非']
['“大”人物'],['6.5'],['五百'],"['王千源', '包贝尔', '王迅', '王砚辉', '屈菁菁', '周游', '韩烨洲', '盖玥希', '刘敏涛', '梅婷', '潘粤明', '乔振宇', '景岗山', '杜源', '高捷', '寇占文', '刘天佐', '马浴柯', '霍青', '邢瀚卿', '李蓓蕾', '万沛鑫', '张皓然', '谢孟伟', '姜寒', '肖涵', '吕晓霖', '马京京', '黎宇航', '成方旭', '王子清', '王昱涵', '王昱淇', '郭紫铭', '要武', '滕根', '张奥']",[],"['动作', '犯罪']",['107'],[' 汉语普通话'],['175339'],[' 中国大陆']
['狄仁杰之四大天王'],['6.1'],['徐克'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['07'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['132'],[' 汉语普通话'],['234376'],[' 中国大陆 / 中国香港']
['火口的两人 火口のふたり'],['7.1'],['荒井晴彦'],"['柄本佑', '泷内公美']",[],['爱情'],['115'],[' 日语'],['23364'],[' 日本']
['海市蜃楼 Durante la tormenta'],['7.8'],['奥里奥尔·保罗'],"['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']",['11'],"['科幻', '悬疑', '惊悚']",['128'],[' 西班牙语'],['267767'],[' 西班牙']
['大象席地而坐'],['8.1'],['胡波'],"['彭昱畅', '章宇', '王玉雯', '李从喜', '董向荣', '王柠', '赵燕国彰', '朱颜曼滋', '凌正辉', '王超北', '王雪洋']",['02'],['剧情'],['234'],[' 汉语普通话'],['121631'],[' 中国大陆']
['血液机器 Blood Machines'],['6.6'],['Seth Ickerman'],"['艾莉莎·拉索斯基', '安德斯·亨里奇森', 'Christian Erickson', 'Natasha Cashman', 'Walter Dickerson', 'Joëlle Berckmans', 'Alexandra Flandrin', 'Noémie Stevens', 'Marion Levavasseur', 'Garance Silve', 'Vera Lavender', 'Anna Bozovic', 'Agathe Dewispelaere', 'Justine Dibling', 'Juliet Doucet']",[],['科幻'],['50'],[' 英语'],['1682'],[' 法国']
['多哥 Togo'],['8.8'],['埃里克松·科尔'],"['威廉·达福', '朱丽安妮·尼科尔森', '克里斯托弗·赫耶达尔', '理查德·多默', '阿德里安·多瓦尔', '玛德琳·威金斯', '麦克尔·格雷耶斯', '妮维·尼尔森', '尼古拉·尼克拉斐', '托尔比约恩·哈尔', '凯瑟琳·麦格雷戈', '迈克尔·麦克埃尔哈顿', '保罗·皮斯科斯基', '迈克尔·加斯顿', '肖恩·本森', '杰米·麦克沙恩', '巴布·米切尔', '大卫·博特', '杰夫·汉尼']",[],"['剧情', '冒险']",['113'],[' 英语'],['44845'],[' 美国']
['扫毒2天地对决 掃毒2：天地對決'],['6.0'],['邱礼涛'],"['刘德华', '古天乐', '苗侨伟', '林嘉欣', '周秀娜', '应采儿', '陈家乐', '卫诗雅', '郑则仕', '张国强', '陈佩诗', '狼森', '欧阳靖', '恭硕良', '林家栋', '李赏', '张竣杰', '李灿森', '谭小环']",[],"['剧情', '动作', '悬疑', '犯罪']",['99'],[' 汉语普通话 / 粤语'],['203407'],[' 中国大陆 / 中国香港']
['爱尔兰人 The Irishman'],['8.8'],['马丁·斯科塞斯'],"['罗伯特·德尼罗', '阿尔·帕西诺', '乔·佩西', '安娜·帕奎因', '杰西·普莱蒙', '哈威·凯特尔', '斯蒂芬·格拉汉姆', '鲍比·坎纳瓦尔', '杰克·休斯顿', '阿莱卡萨·帕拉迪诺', '凯瑟琳·纳杜奇', '多米尼克·隆巴多兹', '雷·罗马诺', '塞巴斯蒂安·马尼斯科', '杰克·霍夫曼', '保罗·本-维克托', '斯蒂芬妮·库尔特祖巴', '莎伦·菲弗', '路易斯·坎瑟米', '茵迪亚·恩能加', 'J.C.麦肯泽', '巴里·普赖默斯', '吉姆·诺顿', '盖里·巴萨拉巴', '玛格丽特·安妮·佛罗伦斯', '约翰·斯库蒂', '约翰·塞纳迭姆博', '大卫·阿隆·贝克', '桃乐丝·麦卡锡', '凯文·凯恩', '加里·帕斯托雷', '约瑟夫·罗素', '凯文·奥罗克', '娜塔莎·罗曼诺娃', '杰里米·卢克', '凯莉·P·威廉姆斯', '詹妮弗·马奇', '保罗·鲍格才', '蒂姆·内夫', '斯蒂芬·梅尔勒', '克雷格·文森特', '比利·史密斯', '布莱斯·科里根', '斯泰西·爱丽丝·科恩', '吉诺·卡法雷利', '拉里·罗曼诺', '罗伯特·富纳罗', '维罗妮卡·阿利奇诺', '克劳黛特·拉利', '詹姆斯·洛林兹', '阿什莉·诺斯', '肯·斯拉迪克', '帕特里克·加洛']",[],"['剧情', '传记', '犯罪']",['209'],[' 英语 / 意大利语 / 拉丁语 / 西班牙语'],['185677'],[' 美国']
['瞒天过海：美人计 Ocean&#39;s Eight'],['6.7'],['盖瑞·罗斯'],"['桑德拉·布洛克', '凯特·布兰切特', '安妮·海瑟薇', '海伦娜·伯翰·卡特', '蕾哈娜', '莎拉·保罗森', '敏迪·卡灵', '奥卡菲娜', '詹姆斯·柯登', '理查德·阿米蒂奇', '格里芬·邓恩', '迪德尔·古德温', '丹尼埃拉·拉贝尼', '埃利奥特·古尔德', '夏洛特·柯克', '达科塔·范宁', '理查德·罗比查乌克斯', '达米安·杨', '戈登·格里克', '凯特琳·梅纳', '詹姆斯·比贝里', '香农·弗雷尔', '康纳尔·多诺万', '凯文·布朗', '马尔洛·托马斯', '丹娜·爱薇', '玛丽·路易丝·威尔逊', '伊丽莎白·阿什利', '凯蒂·霍尔姆斯', '肯多尔·詹娜', '凯莉·詹娜', '金·卡戴珊']",['06'],"['喜剧', '犯罪']",['110'],[' 英语 / 印地语 / 法语 / 德语 / 汉语普通话'],['203511'],[' 美国']
['给我翅膀 Donne-moi des ailes'],['8.6'],['尼古拉·瓦尼埃'],"['让-保罗·卢弗', '梅拉妮·杜泰', '路尔斯·瓦兹奎兹', '弗雷德里克·索雷尔', '丽露·弗格利', '葛里高利·巴奎特', '多米尼克·皮侬', '费利佩·曼吉安', '阿丽安·皮瑞', '克里斯汀·布雷康尼尔', '西里尔·内克尔', '塞德里克·梅斯伯格', '米里耶勒·休伊特·奥奈', '雅克·热尔曼', '马蒂厄·瓦尔特', '英加·海尔格·吉姆勒']",[],['冒险'],['113'],[' 法语'],['5531'],[' 法国']
['恶人传 악인전'],['7.7'],['李元泰'],"['马东锡', '金武烈', '金成圭', '刘承睦', '崔民哲', '金胤成', '许栋元', '吴熙俊', '杨志洙', '金洁', '李恩泉', '刘在明']",[],"['剧情', '动作', '犯罪']",['109'],[' 韩语'],['193200'],[' 韩国']
"['爱你，西蒙 Love, Simon']",['8.3'],['格里格·伯兰蒂'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']",['03'],"['喜剧', '爱情', '同性']",['110'],[' 英语'],['175942'],[' 美国']
['极限职业 극한직업'],['7.7'],['李炳宪'],"['柳承龙', '李荷妮', '陈善圭', '李东辉', '孔明', '申河均', '吴政世', '许俊硕', '金义城', '宋英奎']",[],"['喜剧', '动作', '犯罪']",['111'],[' 韩语 / 汉语普通话 / 英语 / 日语'],['117619'],[' 韩国']
['只有芸知道'],['6.4'],['冯小刚'],"['黄轩', '杨采钰', '徐帆', '莉迪亚·佩克汉', '赵淑珍', '张洪杰', '茹萍']",[],"['剧情', '爱情']",['132'],[' 汉语普通话 / 英语'],['129011'],[' 中国大陆']
['使徒行者2：谍影行动'],['6.3'],['文伟鸿'],"['张家辉', '古天乐', '吴镇宇', '姜珮瑶', '张亦驰', '刘宇宁', '黄志忠', '蔡洁', '马德钟', '袁伟豪', '陈山聪', '王君馨', '张宝儿', '江嘉敏', '李忠希', '刘楚恬', '欧瑞伟', '郑启泰', '黄祥兴', '徐荣', '林伟', '吴瑞庭', '卫志豪', '黎振烨', '汤洛雯', '许绍雄', '关婉珊']",[],"['剧情', '动作', '犯罪']",['98'],[' 粤语 / 汉语普通话'],['161171'],[' 中国大陆 / 中国香港']
['纽约的一个雨天 A Rainy Day in New York'],['7.5'],['伍迪·艾伦'],"['蒂莫西·柴勒梅德', '艾丽·范宁', '赛琳娜·戈麦斯', '裘德·洛', '迭戈·卢纳', '列维·施瑞博尔', '苏琪·沃特豪斯', '凯莉·罗尔巴赫', '丽贝卡·豪尔', '安娜莱吉·阿什福特', '切莉·琼斯', '葛瑞芬·纽曼', '凯瑟琳·利·斯科特', '娜塔莎·罗曼诺娃', '维尔·罗杰斯', '雅各布·伯格', '克里斯·班克斯', '艾恩斯利·丹恩', '马科·查卡', '达里尔·鲁本·霍尔', '泰勒·布莱克', '唐·斯蒂芬森']",[],"['喜剧', '爱情']",['92'],[' 英语'],['66230'],[' 美国']
['昆池岩 곤지암'],['6.1'],['郑凡植'],"['魏化儁', '朴智炫', '吴雅妍', '文艺媛', '朴成焄', '刘帝允', '李承旭']",['03'],['恐怖'],['94'],[' 韩语'],['137462'],[' 韩国']
